group,n,current_token_prob,current_token_rank,gt_token_prob,gt_token_rank,entropy,equiv_step_entropy,equiv_step_gt_prob
mask,1000,5.598652421069528e-09,95047.08533333334,0.0009654650619817142,1239.5151666666666,0.2868312025745399,-1.0,-1.0
smell_severe,1000,0.0006934840052100901,608.0405,7.764676393916903e-05,5191.6575,0.45464366552900903,0.307,0.089
smell_moderate,1000,0.00019940643822817956,138.536,1.8577912014839597e-05,4959.975,0.5598392769993661,0.383,0.105
smell_mild,1000,0.00030181710812889474,659.6555,2.64593005547298e-05,3647.4295,0.33197973811347037,0.208,0.086
control,1000,1.1824300665577585e-05,3511.081,1.1824300665577585e-05,3511.081,0.2752848753239959,0.132,0.096
